,start_pos,n_gram_size,word,vicinity,context,level,source_file
10,184713,5,давид,ссндв_ДАВИД_сссно,"дивизиона, а вероятно, и для самого себя, странным, не офицерским, жестом ткнул рукамивперчаткахвгла",word,belaya_gvardiya_bulgakov_1925.txt
11,367621,5,сутки,гмгск_СУТКИ_нщзсб,"серенькая, усы торчали клочьями, и небритые щеки запали сухими бороздами, он как-то странно косил, с",word,belaya_gvardiya_bulgakov_1925.txt
12,412394,5,помог,гщвбц_ПОМОГ_гдонц,"простый оратор...
      - Маруся, оратор. Гляди... Гляди...
      - Декларацию обявляют...
      - Н",word,belaya_gvardiya_bulgakov_1925.txt
13,8833,5,ничто,нпвуб_НИЧТО_всбид,"настолько интересен, что…

Тут он вежливо снял берет, и друзьям ничего не оставалось, как приподнять",word,bulgakov_master_i_margarita.txt
14,56708,5,бочки,взкзз_БОЧКИ_гесов,"бесстрашно ответил чернобородый Каифа, и глаза его сверкнули. Он вознес рукукнебуипродолжал: — Знает",word,bulgakov_master_i_margarita.txt
15,123620,5,тонко,снртк_ТОНКО_птпви,"то обрубок, на котором он поместился, тоидело пытался выскользнуть из-под него. Ресторанные полотенц",word,bulgakov_master_i_margarita.txt
16,166986,5,тошно,ипсмш_ТОШНО_взспс,"то он шагнул, но остановилсявизумлениивдверяхидаже вздрогнул.

За столом покойного сидел неизвестный",word,bulgakov_master_i_margarita.txt
17,202300,5,топот,кнпнл_ТОПОТ_фкзпф,"только он получил от толстой фельдшерицы, которую звали Прасковьей Федоровной, огрызок карандашаибум",word,bulgakov_master_i_margarita.txt
18,215806,5,засим,япфкб_ЗАСИМ_илвнб,"забиты артистамиирабочими сцены, и между их лицами виднелось напряженное, бледное лицо Римского.

Фи",word,bulgakov_master_i_margarita.txt
19,231940,5,закон,аввбн_ЗАКОН_зсаан,"заседании акустической комиссии, — очень надменно заявила супруга Аркадия Аполлоновича, — нояне пони",word,bulgakov_master_i_margarita.txt
20,241574,5,мотив,мдввв_МОТИВ_яновч,"меня опять-таки извините, ведь, я не ошибаюсь, вы человек невежественный?

— Бесспорно, — согласился",word,bulgakov_master_i_margarita.txt
21,242520,5,утрам,мбпво_УТРАМ_снпив,"уж тогда родился? А меня сумасшедшим называют! — прибавил Иван, в возмущении указывая на дверь.

Гор",word,bulgakov_master_i_margarita.txt
22,326518,5,линии,кснек_ЛИНИИ_тжгнн,"либо изменениевсудьбе несчастного Иешуа. И тут же, глядя на нити огня, раскраивающие тучу, стал прос",word,bulgakov_master_i_margarita.txt
23,341871,5,струя,дззчд_СТРУЯ_паопт,"сдачи три рубля. Ушел! Я полезвкошелек, а оттуда пчела — тяп за палец! Ах ты!.. — шофер опять вклеил",word,bulgakov_master_i_margarita.txt
24,345668,5,товар,пввср_ТОВАР_свбив,"трясясь от волнения, Анна Ричардовна, снова вцепившисьврукав бухгалтера, — и входит кот. Черный, здо",word,bulgakov_master_i_margarita.txt
25,347853,5,повод,фпгзф_ПОВОД_бспкн,помещалсявоблупленном от времени особнякевглубине двораизнаменит был своими порфировыми колоннамивве,word,bulgakov_master_i_margarita.txt
26,352350,5,почти,злзчп_ПОЧТИ_двпкс,"пример, объявил, чтоунего тенор, и далее все пошло, каквскверном сне. Клетчатый специалист-хормейсте",word,bulgakov_master_i_margarita.txt
27,361939,5,поляк,кжпко_ПОЛЯК_тгнвд,"платок от лица. — Я как только глянул на вас, догадался, что это вы! — тут он затрясся от слезиначал",word,bulgakov_master_i_margarita.txt
28,420542,5,чисто,опсвя_ЧИСТО_чугпи,"что именно случилось то, о чем утром говорило предчувствие, и что она покидает особнякипрежнюю свою ",word,bulgakov_master_i_margarita.txt
29,449249,5,скрип,мкктс_СКРИП_мопрд,"с кем разговариваешь, — и, подумав мгновение, она прибавилаксвоей речи длинное непечатное ругательст",word,bulgakov_master_i_margarita.txt
30,461129,5,домом,впвнс_ДОМОМ_ивлтк,"двадцать одну Маргариту обнаружили мывМоскве, и, верите ли, — тут Коровьевсотчаянием хлопнул себя по",word,bulgakov_master_i_margarita.txt
31,462069,5,мулов,ссовэ_МУЛОВ_квбчв,"Мы увидим лиц, объем власти которыхвсвое время был чрезвычайно велик. Но, право, как подумаешьотом, ",word,bulgakov_master_i_margarita.txt
32,580263,5,книзу,здатч_КНИЗУ_мсчну,"кто-нибудь из знакомых увидит меняипотом скажут, чтоябыласлюбовником на улице.

И тут на базаре не с",word,bulgakov_master_i_margarita.txt
33,640485,5,текст,тквнк_ТЕКСТ_боосд,"Там его, к сожалению, также безрезультатно обстреляла охрана, стерегущая дымовые трубы, и кот смылся",word,bulgakov_master_i_margarita.txt
34,665630,5,сутки,онбвс_СУТКИ_зонвб,"с улицы, так как их закрывала от ненужных взоров балюстрадасгипсовыми вазамиигипсовыми цветами. Но и",word,bulgakov_master_i_margarita.txt
35,702248,5,сукно,блвои_СУКНО_влтуб,"свалиласьвболото, утонулавтуманах колдовская нестойкая одежда.

Вряд ли теперь узнали бы Коровьева-Ф",word,bulgakov_master_i_margarita.txt
36,727110,5,кисти,икнба_КИСТИ_ссптг,"конферансье, и самого театра, и старой сквалыги пороховниковой тетки, гноящей валютувпогребе, и уж, ",word,bulgakov_master_i_margarita.txt
37,1494,5,пирог,бочнн_ПИРОГ_кнтсп,"порезались - и разошлись от греха. Кузьма нанялсякгуртовщику, Тихон снял постоялый дворишко на шоссе",word,bunin_derevnya.txt
38,23474,5,повод,клопт_ПОВОД_тозтч,пожарище: от Выселок осталосьвэти дни только одно звание - только черные остовы изб среди мусора. Му,word,bunin_derevnya.txt
39,54140,5,петин,зснпв_ПЕТИН_блгив,"подражая ему, Тихону Ильичу, но больным, ласковым голосом, и все ниже склоняласькящикусденьгами, роя",word,bunin_derevnya.txt
40,126860,5,потом,ндчтв_ПОТОМ_зтукп,"петуха; окошечки тоже окаймлены мелом - зубцами. ""Творчество! - ухмыльнулся Кузьма. - Пещерные време",word,bunin_derevnya.txt
41,130494,5,поток,сатеэ_ПОТОК_лнвст,"пугало, осенние тучки, от которых лежит на всем синеватый тон, и гудит ветерсполя, раздувает хвосты ",word,bunin_derevnya.txt
42,193678,5,говор,нкблл_ГОВОР_потсн,"горело, от водки, отравой разлившейся по озябшему телу, стали навертываться на глаза беспричинные сл",word,bunin_derevnya.txt
43,226251,5,некто,гббжп_НЕКТО_ббибз,"невесту ехать!
   Кто-то отозвался:
   - Бог бословит...
   И бубенцы заныли, полозья заскрипели, су",word,bunin_derevnya.txt
44,9436,5,тяжко,вжооз_ТЯЖКО_вхдсд,"тополем ярко-желтым ковром, от верхушки холма до самой дороги, тянутся полосы пшеницы. На холме хлеб",word,chekhov_step.txt
45,13409,5,редко,иумбо_РЕДКО_кбсзд,"разглядеть ее два крыла. Одно крыло было старое, заплатанное, другое только недавно сделано из новог",word,chekhov_step.txt
46,25000,5,тонко,воннп_ТОНКО_опнне,"точку опорыивзобрался на камень; отсюда он, пятясь назадиглядявупор на Егорушку, точно боясь, чтобы ",word,chekhov_step.txt
47,53367,5,годен,псксг_ГОДЕН_кзоес,"глухимисиплым от душившей его ненависти, картавяиспеша, заговорил об евреях; сначала говорил он прав",word,chekhov_step.txt
48,65661,5,судит,нстчс_СУДИТ_нвпфв,"сумел увидетьипостичь душою. И тогдавтрескотне насекомых, в подозрительных фигурахикурганах, в глубо",word,chekhov_step.txt
49,134517,5,иного,пвтзэ_ИНОГО_бскзс,"и, не отрывая глаз от бумажек, сказал картавя:
      - Здгаствуй, стагик!
      Беседа Варламовасвер",word,chekhov_step.txt
50,134991,5,озноб,анхчн_ОЗНОБ_вскжт,"обидит задаром... Ничего...
      Осмотрев бумаги, Варламов сунул книжкувкарман; жеребчик, точно пон",word,chekhov_step.txt
51,144010,5,стену,мвирб_СТЕНУ_нпнтн,"страшно темно. Егорушка не увидел ни Пантелея, ни тюка, ни себя; покосился он туда, где была недавно",word,chekhov_step.txt
52,149037,5,осени,нмпод_ОСЕНИ_нсссп,"оноиничего... Слез, Егоргий? Ну, идивизбу... Ничего...
      - Свят, свят, свят... - просипел Емелья",word,chekhov_step.txt
53,154030,5,сорок,кхпэш_СОРОК_блзкэ,"Сунул он рукувкарманидостал оттуда комок бурой, липкой замазки. Как эта замазка попала емувкарман? О",word,chekhov_step.txt
54,18580,5,темно,обнвк_ТЕМНО_тонзэ,"то ее мечты... Но она требовала от него за это действительно многого, иногда даже рабства. Злопамятн",word,dostoevsky_besy.txt
55,28835,5,сосет,еавдп_СОСЕТ_гбнил,"славы, она свозила его тогдавМоскву, гдеуней было несколько изящных литературныхиученых знакомств; н",word,dostoevsky_besy.txt
56,31698,5,вопли,вниио_ВОПЛИ_итжпв,"вечера. Она позвала литераторов, икней их тотчас же привели во множестве. Потом уже приходилиисами, ",word,dostoevsky_besy.txt
57,63652,5,носит,эвивп_НОСИТ_ктдст,"Но, откинув смешное, и так какявсе-такиссущностию дела согласен, то скажуиукажу: вот были люди! Суме",word,dostoevsky_besy.txt
58,67680,5,лесом,лнвло_ЛЕСОМ_греос,"любил ее сад. Она малосним говорила, редковчем его очень стесняла, но пристально следящий за ним ее ",word,dostoevsky_besy.txt
59,80055,5,криво,стоун_КРИВО_пмпнз,"крестить ребенкауодной интереснойинедавней вдовы, оставшейся после мужавинтересном положении; но зна",word,dostoevsky_besy.txt
60,127578,5,вдове,бдспп_ВДОВЕ_овэжн,"видимому, Даша оправдывала все ее ожидания. ""В этой жизни не будет ошибок"", -- сказала Варвара Петро",word,dostoevsky_besy.txt
61,194974,5,висит,цнвяр_ВИСИТ_гтнмм,"вышел из себя:
   - И такая грязная, такая... низкая мысль могла появитьсяувас, у Степана Верховенск",word,dostoevsky_besy.txt
62,227785,5,свист,спезс_СВИСТ_аикжз,создатьвтаком виде и... с такими атрибутами; иначе кто же захотел наживать себе такие хлопоты даром?,word,dostoevsky_besy.txt
63,244827,5,полно,бдпвя_ПОЛНО_кизчи,"подошел, откланяться Лизавете Николаевне.
   Она, кажется, и забыла, чтоявкомнате, и стояла всё на т",word,dostoevsky_besy.txt
64,357634,5,поток,вжсмп_ПОТОК_эжснп,"проговорил он, точно оборвал.
   - Как это жестокоипочему-с? Но позвольте, мыожестокости илиомягкост",word,dostoevsky_besy.txt
65,362198,5,тоску,едурк_ТОСКУ_дигэо,"тех особенных случаев, когда успех дороже истины. (Говоря это, он всё осматривался). Таким образом, ",word,dostoevsky_besy.txt
66,362535,5,тоном,жпсзр_ТОНОМ_ввсдэ,"Тут он нежно обнял мать.
   - Во всяком случае, дело это теперь конченоирассказано, а стало быть, мо",word,dostoevsky_besy.txt
67,372759,5,помни,бнебв_ПОМНИ_посем,"Петровна, он меня напугал, иядействительно приготовился отчасти ""спасать"" его. Мне, наконец, и самом",word,dostoevsky_besy.txt
68,401933,5,куста,морнд_КУСТА_оенпн,"когда уже становилось темно, а огня еще не подавали. Не принимал он тожеиПетра Степановича, который,",word,dostoevsky_besy.txt
69,477824,5,твоим,чпкот_ТВОИМ_пгпта,"тоже вот ожидаю их милости. Потому, говорят, папаша тебявклубе аглицкомвкарты тогда проиграл; так я,",word,dostoevsky_besy.txt
70,505212,5,новое,сжпод_НОВОЕ_вбнву,"Новое ощущение видимо овладевало ею всё болееиболее.
   Николай Всеволодович уселсяиждал; наступило ",word,dostoevsky_besy.txt
71,521003,5,пошто,мктмс_ПОШТО_нптнп,"пощечину от Шатова; таким образомирешился наконец послать то необычайное по грубости своей письмо, к",word,dostoevsky_besy.txt
72,547710,5,вошло,обкеч_ВОШЛО_снчбп,"В обществе шумисплетни; легкомысленное обществоспрезрением смотрит на человека, битого по лицу; он п",word,dostoevsky_besy.txt
73,584788,5,сосуд,ямпод_СОСУД_янзчк,"сердца.
   - От слишком уж доброго. Я не знала, чтоутебя коллекция прокламаций, сделай одолжение, по",word,dostoevsky_besy.txt
74,635184,5,споре,чбкеб_СПОРЕ_вчспп,"скрывать? Правда, он редко ей возражалибольшею частию совершенно повиновался. По ее настоянию были, ",word,dostoevsky_besy.txt
75,767999,5,столб,укбнб_СТОЛБ_втзен,"своей точки. Один Лямшин безо всякой точки, затоуменявруках. Еще несколько таких кучек, иуменя повсе",word,dostoevsky_besy.txt
76,782053,5,мотив,tdикн_МОТИВ_чяeia,"мне объяснятьоприходе, то имел вид, что я... enfin, il avait l'air de croire que je tomberai sur lui",word,dostoevsky_besy.txt
77,788131,5,одним,емазп_ОДНИМ_стсмк,"он. Дикая, нелепейшая идея мелькнулауменявуме.
   - Степан Трофимович, скажите мне как другу, -- вск",word,dostoevsky_besy.txt
78,806535,5,треск,пцслз_ТРЕСК_бтнбн,"тупуюибессмысленную ревность егокПетру Степановичу, -- как бы там ни было, но она решиласьитеперь не",word,dostoevsky_besy.txt
79,830785,5,полом,пмкин_ПОЛОМ_чтжуя,"подлее? Он ли, обнимающий менястем, чтобы тут же унизить, я ли, презирающий егоиего щекуитут же ее л",word,dostoevsky_besy.txt
80,863976,5,вдова,жнтов_ВДОВА_агппа,вчерашнего дня она вошлавкабинет Андрея Антоновичаипробыласним гораздо позже полуночи. Андрей Антоно,word,dostoevsky_besy.txt
81,880138,5,сонет,нгири_СОНЕТ_сскпс,"своею отражение напомнило ему ту самую слезу, которая, ""помнишь, скатилась из глаз твоих, когда мы с",word,dostoevsky_besy.txt
82,969182,5,ясном,чнвоз_ЯСНОМ_нввчб,"Я совершенно на одно мгновение, Николай Всеволодович, -- во что бы то ни стало спешил на пару слов..",word,dostoevsky_besy.txt
83,975309,5,внизу,мвуом_ВНИЗУ_тмнвд,"вас надо из-за угроз-то! Мне надо вашу добрую волю, а не из страху. Вы светисолнце... Этоявас изо вс",word,dostoevsky_besy.txt
84,984247,5,потом,шпвмс_ПОТОМ_ббжиш,"понимал, один только он, может быть. Был же изумлен Шатов, когда Ставрогин сказал ему, чтовПетре Сте",word,dostoevsky_besy.txt
85,995148,5,резон,омноэ_РЕЗОН_втпжп,"ребенку его зонтик, отдайте непременно. Вот так... Пойдемте же! Пойдемте же!
   Прибытие ихкроковому",word,dostoevsky_besy.txt
86,995821,5,домам,лооиу_ДОМАМ_ндсрк,"далеко от менявтолпе, а Маврикия Николаевича даже сначалаине разглядел. Кажется, был такой миг, что ",word,dostoevsky_besy.txt
87,999636,5,помни,бввоп_ПОМНИ_кпнвч,"Пусть он малый нелепый и, конечно, пустой, но ведь чем же он виноватвглупостях Юлии Михайловны? Напр",word,dostoevsky_besy.txt
88,1060271,5,девку,одпеи_ДЕВКУ_рнзпс,"данной емувто время, когдавзаседанииунаших условилисьираспределили роли на завтра. Петр Степанович, ",word,dostoevsky_besy.txt
89,1154992,5,чинов,бонзо_ЧИНОВ_нснев,"чем именно; но он всё не смел начать. Ему всё казалось, что Петр Степанович как будтосним тяготитсяи",word,dostoevsky_besy.txt
90,1196513,5,успел,сеаме_УСПЕЛ_пччсн,"умер, ""сраженныйвСевастополе пулей"", единственно лишь потому, что чувствовал себя недостойным любви ",word,dostoevsky_besy.txt
91,1219043,5,богов,ндулт_БОГОВ_пбхчо,"больной открыл глазаипришелвпамять (он всё пока былвпамяти, хотяскаждым часом ослабевал), приступила",word,dostoevsky_besy.txt
92,1241786,5,весом,дргнн_ВЕСОМ_дпвкт,"всю европейскую свою образованность:
   ""Милая Дарья Павловна,
   Вы когда-то захотели ко мне ""в сид",word,dostoevsky_besy.txt
93,3283,5,зипун,вскбт_ЗИПУН_зодже,"забытье, и пошел, уже не замечая окружающего, даине желая его замечать. Изредка только бормотал он ч",word,dostoevsky_prestuplenie_i_nakazanie.txt
94,6401,5,повод,смчвт_ПОВОД_дтсти,под обоими воротамиина обоих дворах дома. Тут служили три или четыре дворника. Молодой человек был о,word,dostoevsky_prestuplenie_i_nakazanie.txt
95,47033,5,сроку,шсдвк_СРОКУ_ечтше,"спичка рукой. Она, кажется, унимала его, что-то шептала ему, всячески сдерживала, чтоб он как-нибудь",word,dostoevsky_prestuplenie_i_nakazanie.txt
96,92388,5,носок,тинзи_НОСОК_доудб,"нетерпеливо ожидал своей очереди, когда досадный оборванец уйдет. Дело было понятное. Господин этот ",word,dostoevsky_prestuplenie_i_nakazanie.txt
97,97673,5,зовут,кбппэ_ЗОВУТ_оочвб,"закричал он вслед усачу.
   Тот оборотился.
   -- Оставьте! Чего вам? Бросьте! Пусть его позабавится",word,dostoevsky_prestuplenie_i_nakazanie.txt
98,124316,5,порок,еппсн_ПОРОК_рсспж,"память. Он решил отнести колечко; разыскав старуху, с первого же взгляда, еще ничего не знаяоней осо",word,dostoevsky_prestuplenie_i_nakazanie.txt
99,151922,5,ровно,тчсем_РОВНО_сивво,"рост. Она вскрикнула, но очень слабо, и вдруг вся оселакполу, хотяиуспела еще поднять обе рукикголов",word,dostoevsky_prestuplenie_i_nakazanie.txt
100,240641,5,новое,рпвел_НОВОЕ_птмеч,"надежда осуществить векселек? Ответ: есть, потому такая мамаша есть, что из стадвадцатипятирублевой ",word,dostoevsky_prestuplenie_i_nakazanie.txt
101,300343,5,водил,пговр_ВОДИЛ_рпртс,"в ожидании двухкопеечника из лавочки. Раскольников приостановился рядомсдвумя-тремя слушателями, пос",word,dostoevsky_prestuplenie_i_nakazanie.txt
102,321142,5,сорок,мсибо_СОРОК_ехнмк,"спокойно отвечал Раскольников.
   -- Один? Когда еще ходить не можешь, когда еще рожа как полотно бл",word,dostoevsky_prestuplenie_i_nakazanie.txt
103,422234,5,вдвое,ипспм_ВДВОЕ_нзктм,"вмешалась Дуня, -- ведь они еще не знают, кто такая Марфа Петровна.
   -- Ах, не знаете? Аядумала, в",word,dostoevsky_prestuplenie_i_nakazanie.txt
104,424835,5,сукно,тнпдп_СУКНО_бнпиу,"сходствасчеловеком, у которого, например, очень больно нарывает палец, или ушиблена рука, или что-ни",word,dostoevsky_prestuplenie_i_nakazanie.txt
105,539434,5,сидим,уиппв_СИДИМ_путдп,сестрицы истощилась до ижицы. Марфа Петровна уже третий день принуждена была дома сидеть; несчемвгор,word,dostoevsky_prestuplenie_i_nakazanie.txt
106,588784,5,перед,арпеб_ПЕРЕД_ктядн,"положение ее раззадорило его до крайности. Тут являлось даже несколько более того, о чем он мечтал: ",word,dostoevsky_prestuplenie_i_nakazanie.txt
107,606126,5,ковер,крспп_КОВЕР_ссуят,"какумертвой.
   Он взял ее руку. Соня слабо улыбнулась.
   -- Яивсегда такая была, -- сказала она.
 ",word,dostoevsky_prestuplenie_i_nakazanie.txt
108,606632,5,хохол,нбузо_ХОХОЛ_освек,"Хозяева очень хорошие, очень ласковые, -- отвечала Соня, всё еще как бы не опомнившисьине сообразивш",word,dostoevsky_prestuplenie_i_nakazanie.txt
109,618116,5,споре,бмдоп_СПОРЕ_притт,"сих пор останавливать решимость ее покончить разом? И тут только понял он вполне, что значили для не",word,dostoevsky_prestuplenie_i_nakazanie.txt
110,635088,5,токмо,пнбов_ТОКМО_лпект,"только одни канцелярские, мелко-озабоченные лица, потом еще каких-то людей, и никому-то не было до н",word,dostoevsky_prestuplenie_i_nakazanie.txt
111,636308,5,носит,дбснк_НОСИТ_сбенч,"нибудь обнаружить себя. И так сильно было его негодование, что тотчас же прекратило дрожь; он пригот",word,dostoevsky_prestuplenie_i_nakazanie.txt
112,684736,5,свете,опгоб_СВЕТЕ_чнпту,"сегодня? Ведь если только есть что-нибудьуПорфирия положительного, то уж, конечно, оновсвязи со вчер",word,dostoevsky_prestuplenie_i_nakazanie.txt
113,719201,5,свечи,тпсвв_СВЕЧИ_гвппо,"Соня, -- вы ей что изволили говорить вчераовозможности пенсиона? Потому она еще вчера говорила мне, ",word,dostoevsky_prestuplenie_i_nakazanie.txt
114,736115,5,носки,иикбд_НОСКИ_пдбвв,"носики. Одним словом, Катерина Ивановна поневоле должна была встретить всехсудвоенною важностиюидаже",word,dostoevsky_prestuplenie_i_nakazanie.txt
115,750984,5,тоски,пписп_ТОСКИ_очдзч,"тоской, осмелилась сообщить Катерине Ивановне одно чрезвычайно дельноеиглубокомысленное замечаниеото",word,dostoevsky_prestuplenie_i_nakazanie.txt
116,773645,5,тепло,чвхеи_ТЕПЛО_нбпчх,"то есть придет ли она, найдя, благодарить? Потом, что хотите избежать благодарностиичтоб, ну, как эт",word,dostoevsky_prestuplenie_i_nakazanie.txt
117,830974,5,резко,гчмдр_РЕЗКО_бнчсд,"Романыч! Еслибвы знали, какие они бестолковые! Ну чтосэтакими сделаешь!..
  
   1 держись прямо! (фр",word,dostoevsky_prestuplenie_i_nakazanie.txt
118,835016,5,виски,зквле_ВИСКИ_пдцеп,"выражалось искреннее сострадание. Катерина Ивановна принялаивежливо, даже церемонно, ему поклонилась",word,dostoevsky_prestuplenie_i_nakazanie.txt
119,873091,5,дикое,эхссв_ДИКОЕ_тднсэ,"даиотложил, и... как отложил ее тогда, даиподумал: ""Ну, с этим человеком так не пройдет!"" Ну, так ка",word,dostoevsky_prestuplenie_i_nakazanie.txt
120,921421,5,спаси,квснс_СПАСИ_нпвсж,"судьбу, прикинулся алчущимижаждущим света и, наконец, пустилиход величайшееинезыблемое средствокпоко",word,dostoevsky_prestuplenie_i_nakazanie.txt
121,960786,5,тетки,мсзая_ТЕТКИ_ндуск,"то его тогда как искал!.. Наши деревенские уроки стрельбы, которыеяимел честь вам давать, не пропали",word,dostoevsky_prestuplenie_i_nakazanie.txt
122,984430,5,озноб,орцбо_ОЗНОБ_бнснс,"особенно заметилвбанкахсводой, на окнах, букеты белыхинежных нарцизов, склоняющихся на своих ярко-зе",word,dostoevsky_prestuplenie_i_nakazanie.txt
123,1001731,5,добро,бчэмд_ДОБРО_борчн,"Да, он был рад, он был очень рад, что никого не было, что они были наединесматерью. Как бы за всё эт",word,dostoevsky_prestuplenie_i_nakazanie.txt
124,1031260,6,сурово,уяордс_СУРОВО_кгекон,"с... -- улыбался Раскольников.
   Он вышел; он качался. Голова его кружилась. Он не чувствовал, стои",word,dostoevsky_prestuplenie_i_nakazanie.txt
125,1048025,5,скрип,иикое_СКРИП_епчос,"сообщает каждый раз из получаемых ею писем; что он спрашивает иногдаоматери; и когда она, видя, что ",word,dostoevsky_prestuplenie_i_nakazanie.txt
126,1052865,5,остро,ржррс_ОСТРО_умкмп,"отгоняющее сон, такое раскаяние, от ужасных мук которого мерещится петляиомут! О, он бы обрадовался ",word,dostoevsky_prestuplenie_i_nakazanie.txt
127,1067197,5,озноб,эдбад_ОЗНОБ_дтсчп,"опять захворала. Но она была до того счастлива, что почти испугалась своего счастья. Семь лет, тольк",word,dostoevsky_prestuplenie_i_nakazanie.txt
128,1031260,6,сурово,уяордс_СУРОВО_кгекон,"с... -- улыбался Раскольников.
   Он вышел; он качался. Голова его кружилась. Он не чувствовал, стои",word,dostoevsky_prestuplenie_i_nakazanie.txt
129,40471,5,гости,нтчтн_ГОСТИ_товпж,"гуманитетом. Одно самолюбие только. Изображают-то они воров, падших женщин, точно ловят их на улице ",word,goncharov_oblomov.txt
130,48805,5,садов,хяндс_САДОВ_язвии,"сказал Алексеев, — да Овчинин встретилсяиувезксебе. Я за вами, Илья Ильич.

— Куда это?

— ДакОвчини",word,goncharov_oblomov.txt
131,133950,5,слово,злпок_СЛОВО_рсмбт,"сну…

Лицо Обломова вдруг облилось румянцем счастья: мечта была так ярка, жива, поэтична, что он мгн",word,goncharov_oblomov.txt
132,147836,5,свету,влнср_СВЕТУ_днчвп,"себя верховой ездой, танцами, умеренным движеньем на чистом воздухе, приятными разговорами, особенно",word,goncharov_oblomov.txt
133,169885,5,девки,бвмвэ_ДЕВКИ_ппбнт,"думалось ему, — ведьяумею, кажется, и писать, писывал бывало не то что письма, а помудренее этого! К",word,goncharov_oblomov.txt
134,245262,5,зипун,нтнкс_ЗИПУН_уооти,"Завтра или послезавтра успеешь — не уйдет оно от тебя.

И письмосочками было спрятано под замок. Все",word,goncharov_oblomov.txt
135,262820,5,винчи,нсилт_ВИНЧИ_кистч,"все, и не чистишь, и крадешь, и съедаешь… Тьфу, чтоб тебе!.. Сегодня напустился — срам слушать! А за",word,goncharov_oblomov.txt
136,278621,5,повод,оппои_ПОВОД_гамвр,"приходи опятьспереводом, вместо одной, двух глав, а матери выучи роль из французской комедии, что он",word,goncharov_oblomov.txt
137,300759,5,тучки,виуди_ТУЧКИ_чпивз,"то успокоительное чувство, какое испытывает человек, приходя из великолепных зал под собственный скр",word,goncharov_oblomov.txt
138,306851,5,текст,пттма_ТЕКСТ_хппбл,"тут еще квартира… Спасибо, Тарантьев хотел постараться, приискать…

— Бывает ли кто-нибудьутебя?

— ",word,goncharov_oblomov.txt
139,336322,5,носит,гпсся_НОСИТ_взвос,"не отстану — слышишь, Илья?

— Ты все завтра! — возразил Обломов, спустившись будтособлаков.

— А те",word,goncharov_oblomov.txt
140,377294,5,томно,бтслэ_ТОМНО_вчоск,"только Обломов мог…»

Но она вспомнила, что она слышалаичитала, как любовь приходит иногда внезапно.",word,goncharov_oblomov.txt
141,379655,5,худое,нисов_ХУДОЕ_ехпом,"хотите уехать?

«Дерзкий! он еще ехать хочет!» — подумала она.

— Мне отчего-то больно, неловко, жже",word,goncharov_oblomov.txt
142,401898,5,вовсе,пввун_ВОВСЕ_бсиот,"вас, ожидающий взгляд.

Стихия ее была свет, и оттого такт, осторожность шлиуней впереди каждой мысл",word,goncharov_oblomov.txt
143,434071,5,перст,упнко_ПЕРСТ_серон,просила его рассказывать содержаниеиснеимоверным терпением слушала его рассказ. Он написал несколько,word,goncharov_oblomov.txt
144,470719,5,колес,полус_КОЛЕС_увооз,"когда оно любит, есть свой ум, — возразила она, — оно знает, чего хочет, и знает наперед, что будет.",word,goncharov_oblomov.txt
145,491198,5,низко,лоенв_НИЗКО_унелб,"ней играет здоровье, кушает онасаппетитом, у ней есть любимые блюда, она знает, какиготовить их.

Да",word,goncharov_oblomov.txt
